Addison Road,Blue and Silver Lines
Anacostia,Green Line
Archives,Green and Yellow Lines
Arlington Cemetery,Blue Line
Ballston,Orange and Silver Lines
Benning Road,Blue and Silver Lines
Bethesda,Red Line
Braddock Road,Blue and Yellow Lines
Branch Avenue,Green Line
Brookland,Red Line
Capitol Heights,Blue and Silver Lines
Capitol South,"Blue, Orange, and Silver Lines"
Cheverly,Orange Line
Clarendon,Orange and Silver Lines
Cleveland Park,Red Line
College Park,Green Line
Columbia Heights,Green and Yellow Lines
Congress Heights,Green Line
Court House,Orange and Silver Lines
Crystal City,Blue and Yellow Lines
Deanwood,Orange Line
Dunn Loring,Orange Line
Dupont Circle,Red Line
East Falls Church,Orange and Silver Lines
Eastern Market,"Blue, Orange, and Silver Lines"
Eisenhower Avenue,Yellow Line
Farragut North,Red Line
Farragut West,"Orange, Silver, and Blue Lines"
Federal Center SW,"Orange, Silver, and Blue Lines"
Federal Triangle,"Blue, Orange, and Silver Lines"
Foggy Botton,"Blue, Orange, and Silver Lines"
Forest Glen,Red Line
Fort Totten,Red Line
Fort Totten,Green and Yellow Lines
Franconia Springfield,Blue Line
Friendship Heights,Red Line
Gallery  Place,Green and Yellow Lines
Gallery Place,Red Line
Georgia Avenue,Yellow and Green Lines
Glenmont,Red Line
Greenbelt,Green Line
Greensboro,Silver Line
Grosvenor,Red Line
Huntington,Yellow Line
Judiciary Square,Red Line
King Street,Blue and Yellow Lines
L'Enfant  Plaza,"Blue, Orange, and Silver Lines"
L'Enfant Plaza,Green and Yellow Lines
Landover,Orange Line
Largo Town Center,Blue and Silver Lines
McLean,Silver Line
McPherson Square,"Blue, Orange, and Silver Lines"
Medical Center,Red Line
Metro  Center,"Blue, Orange, and Silver Lines"
Metro Center,Red Line
Minnesota Avenue,Orange Line
Morgan Boulevard,Silver and Blue Lines
Mount Vernon Square,Green and Yellow Lines
Navy Yard,Green Line
Naylor Road,Green Line
New Carrollton,Orange Line
NoMa,Red Line
Pentagon City,Yellow and Blue Lines
Pentagon,Blue and Yellow Lines
Potomac Avenue,"Blue, Orange, and Silver Lines"
Prince George's,Green Line
Rhode Island Avenue,Red Line
Rockville,Red Line
Reagan,Blue and Yellow Lines
Rosslyn,"Blue, Orange, and Silver Lines"
Shady Grove,Red Line
Shaw,Green and Yellow Lines
Silver Spring,Red Line
Smithsonian,"Blue, Orange, and Silver Lines"
Southern Avenue,Green Line
Spring Hill,Silver Line
Stadium Armory,"Blue, Orange, and Silver Lines"
Suitland,Green Line
Takoma,Red Line
Tenleytown,Red Line
Twinbrook,Red Line
Tysons Corner,Silver Line
U Street,Yellow and Green Lines
Union Station,Red Line
Van Dorn Street,Blue Line
Van Ness,Red Line
Vienna,Orange Line
Virginia Square,Orange and Silver Line
Waterfront,Green Line
West Falls Church,Orange Line
West Hyattsville,Green Line
Wheaton,Red Line
White Flint,Red Line
Wiehle Reston East,Silver Line
Woodley Park,Red Line
